,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
27,37,43,0.9085478887744594,0.8170770206850597,4475,4347,457,431,0.969497536195038,0.9688393624581776
135,31,1,0.9085478887744594,0.8170940742205058,4485,4337,467,421,0.9698850461957067,0.9693669743786267
7,34,3,0.9085478887744594,0.8170755923264109,4462,4360,444,444,0.9695082708966878,0.968758234289945
17,37,47,0.9085478887744594,0.8171859921118863,4508,4314,490,398,0.9696592143793746,0.969068562626524
10,34,31,0.9084449021627189,0.8168678686186421,4470,4351,453,436,0.9698904984058333,0.9692133190639438
1,34,47,0.9084449021627189,0.8168715326207686,4475,4346,458,431,0.9699919264860475,0.9694504646464635
81,17,43,0.9083419155509783,0.8166636004172362,4461,4359,445,445,0.9697636337499699,0.9692322123002365
2,34,6,0.9083419155509783,0.8166614424670495,4468,4352,452,438,0.9696438336309632,0.9691040224133672
51,6,5,0.9082389289392379,0.8164824160433065,4486,4333,471,420,0.9693345214767012,0.968766150537856
37,47,5,0.9082389289392379,0.8165127044444518,4495,4324,480,411,0.9696547804808672,0.9692151553763919
58,6,baseline,0.9082389289392379,0.8164585027631786,4473,4346,458,433,0.9691841507943,0.9684732152825073
43,47,2,0.9082389289392379,0.8165127044444518,4495,4324,480,411,0.969575161241159,0.9688350938174956
77,17,3,0.9082389289392379,0.8164553688471793,4467,4352,452,439,0.9694295638944717,0.9686837249139336
30,37,1,0.9082389289392379,0.8165013593549274,4492,4327,477,414,0.9696620995956285,0.969208533507799
67,28,27,0.9081359423274974,0.8162676482045916,4482,4336,468,424,0.968985410309998,0.9681970240507887
34,47,28,0.9081359423274974,0.8163355097916613,4501,4317,487,405,0.9697029381345142,0.9691203633774436
52,6,3,0.9081359423274974,0.8162552682065289,4475,4343,461,431,0.9691193182878924,0.968170930751737
16,34,14,0.9080329557157569,0.81604336387058,4466,4351,453,440,0.9697527717593676,0.9692959602526909
113,3,baseline,0.9080329557157569,0.8160448891640905,4470,4347,457,436,0.9689615012017775,0.9680697126875584
48,6,28,0.9080329557157569,0.8160892765598902,4491,4326,478,415,0.9694182139628853,0.9687316550504248
92,35,43,0.9079299691040165,0.8158460798508664,4476,4340,464,430,0.9693333546613045,0.9685958809185774
66,28,62,0.9079299691040165,0.8158494722462232,4478,4338,466,428,0.9694150741687267,0.9687449746726018
71,28,baseline,0.9079299691040165,0.8158534189233516,4480,4336,468,426,0.9691964553930292,0.9685705486696847
68,28,31,0.9079299691040165,0.8158850362600716,4491,4325,479,415,0.9695605654412871,0.9687696483037118
54,6,27,0.9079299691040165,0.8158445914912132,4475,4341,463,431,0.9689574491701269,0.9681071781855615
57,6,2,0.907826982492276,0.8156344634380847,4471,4344,460,435,0.9692406883039782,0.9683359254707996
15,34,57,0.907826982492276,0.8156340369014604,4458,4357,447,448,0.9693084908859414,0.9687440433552541
101,5,31,0.907826982492276,0.8156885142941687,4493,4322,482,413,0.9695655084956041,0.9689863426110075
83,17,baseline,0.907826982492276,0.8156335998138028,4470,4345,459,436,0.9693894466596493,0.9688912592601284
29,37,baseline,0.907826982492276,0.8156556312323875,4483,4332,472,423,0.9691342959546213,0.9684727554634253
74,28,14,0.907826982492276,0.8156443869589778,4478,4337,467,428,0.9693801545661261,0.9688309244448896
103,5,2,0.9077239958805355,0.8154659629885618,4488,4326,478,418,0.9692736985722932,0.9685411832970527
102,5,43,0.9077239958805355,0.8154265574206155,4468,4346,458,438,0.9695316284194481,0.968996007422479
47,47,14,0.9077239958805355,0.8154483234942467,4482,4332,472,424,0.9697339542092419,0.9692616318937918
151,1,14,0.9077239958805355,0.8154374338305852,4477,4337,467,429,0.9696906759654358,0.9693416387796924
134,31,baseline,0.9077239958805355,0.8154393347326713,4478,4336,468,428,0.9693597246892708,0.9686194543479136
98,5,3,0.9077239958805355,0.8154393347326713,4478,4336,468,428,0.9691629571837302,0.9683960888967896
105,5,1,0.9077239958805355,0.8154483234942467,4482,4332,472,424,0.9696825931169601,0.9692892086821967
133,31,2,0.9076210092687951,0.8152616187108324,4488,4325,479,418,0.9694731603606588,0.9684920123876105
82,17,2,0.9076210092687951,0.8152208601894514,4468,4345,459,438,0.9694957541497048,0.9687409446722375
20,37,17,0.9076210092687951,0.8152323469782808,4477,4336,468,429,0.969671731126358,0.9691280054787259
11,34,43,0.9076210092687951,0.8152281197358958,4452,4361,443,454,0.9698381402167578,0.9692885037899824
22,37,5,0.9076210092687951,0.8153027782826276,4498,4315,489,408,0.9693461896306685,0.9687481704276899
9,34,27,0.9076210092687951,0.815220061918613,4460,4353,451,446,0.9693282843180351,0.968657030618
42,47,43,0.9076210092687951,0.815234315541967,4478,4335,469,428,0.9698354459339327,0.9693017833741634
139,43,baseline,0.9075180226570546,0.8150140304384076,4466,4346,458,440,0.9692861516748001,0.9686185326371665
125,27,31,0.9075180226570546,0.8150444541414733,4484,4328,476,422,0.9691270404843362,0.9681679760828352
46,47,57,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.969349265780351,0.9687127681303437
69,28,43,0.9075180226570546,0.8150179829591636,4471,4341,463,435,0.969532858879321,0.9688000232972206
6,34,5,0.9075180226570546,0.8150236360908403,4475,4337,467,431,0.9697528354038437,0.9693243570180736
79,17,27,0.9075180226570546,0.81502201518999,4474,4338,466,432,0.9692433825868033,0.9686975492330709
140,43,1,0.9074150360453141,0.8148104241129906,4469,4342,462,437,0.9698299512941553,0.969429923035204
132,31,43,0.9074150360453141,0.8148078206585737,4465,4346,458,441,0.9696252918735677,0.9687821898522049
23,37,3,0.9074150360453141,0.8148369714735028,4483,4328,476,423,0.9691529650009691,0.9682668689288122
31,37,57,0.9074150360453141,0.8148152412196782,4473,4338,466,433,0.9689767970908875,0.9682472178972448
32,37,14,0.9074150360453141,0.8148399058668664,4484,4327,477,422,0.9694160288358696,0.9687660223343575
50,6,35,0.9074150360453141,0.8148429787244588,4485,4326,478,421,0.9691856994765538,0.9684730336520098
45,47,1,0.9074150360453141,0.8148369714735028,4483,4328,476,423,0.9699587464991296,0.9696594212260323
104,5,baseline,0.9073120494335737,0.8146268003085775,4481,4329,475,425,0.9691024525017031,0.9685757810467097
109,3,27,0.9073120494335737,0.8146018559754152,4459,4351,453,447,0.9687664520970941,0.9676836592760125
59,6,1,0.9073120494335737,0.8146152516061497,4476,4334,470,430,0.9696256949552503,0.9692255643876402
99,5,62,0.9073120494335737,0.8146085033126567,4472,4338,466,434,0.9694220326314564,0.9689961215361642
49,6,17,0.9073120494335737,0.8146133569993094,4475,4335,469,431,0.9696033133144585,0.969054369520183
85,17,57,0.9073120494335737,0.8146018559754152,4459,4351,453,447,0.9692119422155678,0.9686413467107908
142,43,14,0.9073120494335737,0.8146023126733888,4458,4352,452,448,0.9695102650902752,0.9688936740378724
118,62,31,0.9073120494335737,0.8146194559302852,4478,4332,472,428,0.969567375400239,0.9688090804861884
137,31,14,0.9073120494335737,0.8146217656628287,4479,4331,473,427,0.9695683300673817,0.9688456007439147
122,62,1,0.9073120494335737,0.8146172845806355,4477,4333,471,429,0.9697350149505117,0.9694381995994845
114,3,1,0.9072090628218331,0.8144018014418465,4471,4338,466,435,0.9694519455352636,0.9688840195283527
28,37,2,0.9072090628218331,0.8144309075787621,4484,4325,479,422,0.96933070280813,0.9683960525141351
97,35,14,0.9072090628218331,0.8144194614499238,4480,4329,475,426,0.9692528443989297,0.9685956757940122
75,17,35,0.9072090628218331,0.814414568628867,4478,4331,473,428,0.969422499357615,0.9688329382963086
94,35,baseline,0.9072090628218331,0.814412329750093,4477,4332,472,429,0.9689506604260004,0.9682912259535452
150,1,57,0.9072090628218331,0.8143960687479443,4458,4351,453,448,0.9693378522042884,0.9689315642787231
87,35,5,0.9072090628218331,0.8144562672093639,4491,4318,486,415,0.9692178399370276,0.9686042439328584
65,28,3,0.9072090628218331,0.814408267016887,4475,4334,470,431,0.9691766195312848,0.9682486559871344
84,17,1,0.9072090628218331,0.8144064431474232,4474,4335,469,432,0.9699380196147184,0.9696669071761259
8,34,62,0.9071060762100926,0.8141895379487738,4459,4349,455,447,0.9697011136595303,0.9691684445303681
141,43,57,0.9071060762100926,0.8141925222034578,4454,4354,450,452,0.969107650133925,0.9683340100829322
86,17,14,0.9071060762100926,0.8141928736843931,4468,4340,464,438,0.969633247433091,0.9692050342716185
44,47,baseline,0.9071060762100926,0.8142097142365492,4478,4330,474,428,0.9694258513000276,0.9688699198428251
