,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
81,17,43,0.9083419155509783,0.8166636004172362,4461,4359,445,445,0.9698025841693954,0.969267187851772
2,34,6,0.9083419155509783,0.8166614424670495,4468,4352,452,438,0.9696696732882946,0.9691814420262551
51,6,5,0.9082389289392379,0.8164824160433065,4486,4333,471,420,0.9694789520079917,0.968961967578045
37,47,5,0.9082389289392379,0.8165127044444518,4495,4324,480,411,0.9697536415672088,0.9693465396151388
58,6,baseline,0.9082389289392379,0.8164585027631786,4473,4346,458,433,0.9692661248796272,0.9685660546750959
43,47,2,0.9082389289392379,0.8165127044444518,4495,4324,480,411,0.9695966942889351,0.9689008262877052
77,17,3,0.9082389289392379,0.8164553688471793,4467,4352,452,439,0.9694662018979291,0.9687424158057036
30,37,1,0.9082389289392379,0.8165013593549274,4492,4327,477,414,0.9697039352313078,0.9692367619092568
67,28,27,0.9081359423274974,0.8162676482045916,4482,4336,468,424,0.9690681269142136,0.9682984122243633
34,47,28,0.9081359423274974,0.8163355097916613,4501,4317,487,405,0.9697706134275249,0.9691852155931165
52,6,3,0.9081359423274974,0.8162552682065289,4475,4343,461,431,0.9691605599084605,0.9682753791440832
16,34,14,0.9080329557157569,0.81604336387058,4466,4351,453,440,0.9697419309835905,0.9692968936010449
113,3,baseline,0.9080329557157569,0.8160448891640905,4470,4347,457,436,0.9690156838658368,0.9681638695282365
48,6,28,0.9080329557157569,0.8160892765598902,4491,4326,478,415,0.9695110712536401,0.9688718928919258
92,35,43,0.9079299691040165,0.8158460798508664,4476,4340,464,430,0.9693547604201282,0.9686238822263362
66,28,62,0.9079299691040165,0.8158494722462232,4478,4338,466,428,0.9694154348207584,0.9687557726415926
71,28,baseline,0.9079299691040165,0.8158534189233516,4480,4336,468,426,0.9692743986615312,0.9686576463070095
68,28,31,0.9079299691040165,0.8158850362600716,4491,4325,479,415,0.9696303622168372,0.9688618064701262
54,6,27,0.9079299691040165,0.8158445914912132,4475,4341,463,431,0.9690142624725353,0.9682085169235055
57,6,2,0.907826982492276,0.8156344634380847,4471,4344,460,435,0.9692683736511191,0.9683960149853775
15,34,57,0.907826982492276,0.8156340369014604,4458,4357,447,448,0.9693200529657816,0.9688195790867249
101,5,31,0.907826982492276,0.8156885142941687,4493,4322,482,413,0.9697131000358784,0.9691744351877305
83,17,baseline,0.907826982492276,0.8156335998138028,4470,4345,459,436,0.9694002450057755,0.968890242373109
29,37,baseline,0.907826982492276,0.8156556312323875,4483,4332,472,423,0.9692055565531238,0.9685737741437681
74,28,14,0.907826982492276,0.8156443869589778,4478,4337,467,428,0.9694052304897434,0.9688738518459212
103,5,2,0.9077239958805355,0.8154659629885618,4488,4326,478,418,0.9693780755132375,0.9686626023053179
102,5,43,0.9077239958805355,0.8154265574206155,4468,4346,458,438,0.9696272436375042,0.9691351102361079
47,47,14,0.9077239958805355,0.8154483234942467,4482,4332,472,424,0.9698327304362822,0.9693582916155943
151,1,14,0.9077239958805355,0.8154374338305852,4477,4337,467,429,0.9696953007973719,0.9693192212711467
134,31,baseline,0.9077239958805355,0.8154393347326713,4478,4336,468,428,0.9694161349099966,0.9686894278249227
98,5,3,0.9077239958805355,0.8154393347326713,4478,4336,468,428,0.9692055565531238,0.9684367847839521
105,5,1,0.9077239958805355,0.8154483234942467,4482,4332,472,424,0.9697529839076215,0.9693688876964578
133,31,2,0.9076210092687951,0.8152616187108324,4488,4325,479,418,0.9695140413291953,0.9685604525975442
82,17,2,0.9076210092687951,0.8152208601894514,4468,4345,459,438,0.9694843405736421,0.968741101138454
20,37,17,0.9076210092687951,0.8152323469782808,4477,4336,468,429,0.969684035725087,0.969139617595226
11,34,43,0.9076210092687951,0.8152281197358958,4452,4361,443,454,0.9698419376705035,0.9693075868782373
22,37,5,0.9076210092687951,0.8153027782826276,4498,4315,489,408,0.9694616407104694,0.9688830933465565
9,34,27,0.9076210092687951,0.815220061918613,4460,4353,451,446,0.9693394008865421,0.9686989052181613
42,47,43,0.9076210092687951,0.815234315541967,4478,4335,469,428,0.9699081279257366,0.9693874788339698
139,43,baseline,0.9075180226570546,0.8150140304384076,4466,4346,458,440,0.9693700775240637,0.9687229336882356
125,27,31,0.9075180226570546,0.8150444541414733,4484,4328,476,422,0.9692503622643585,0.9683144200637659
46,47,57,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9693760388899996,0.9687301442258576
69,28,43,0.9075180226570546,0.8150179829591636,4471,4341,463,435,0.9696163180024255,0.9688662644405194
6,34,5,0.9075180226570546,0.8150236360908403,4475,4337,467,431,0.9698241596468224,0.9694366135467902
79,17,27,0.9075180226570546,0.81502201518999,4474,4338,466,432,0.9692876367125778,0.9687994755578772
140,43,1,0.9074150360453141,0.8148104241129906,4469,4342,462,437,0.969845183538789,0.9694365883460165
132,31,43,0.9074150360453141,0.8148078206585737,4465,4346,458,441,0.9697776567495561,0.9689213517201698
