,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
5946,6,17,5,baseline,57,0.9085478887744594,0.8170770206850597,4475,4347,457,431,0.9697531111965738,0.9692719610562318
7423,17,35,31,1,57,0.9085478887744594,0.8170806796697697,4478,4344,460,428,0.9699807250582391,0.9694801486480449
3611,37,17,3,2,baseline,0.9085478887744594,0.8170806796697697,4478,4344,460,428,0.9698097759952043,0.9691261028011051
5557,47,43,baseline,1,14,0.9085478887744594,0.8170770206850597,4475,4347,457,431,0.9701505709503528,0.9697683389036211
5591,6,28,17,3,baseline,0.9085478887744594,0.8170793212570674,4477,4345,459,429,0.9698617098877718,0.9692415484473248
5579,6,28,17,5,31,0.9085478887744594,0.8171109688191945,4491,4331,473,415,0.9700989128505156,0.9695956425090109
5563,47,2,1,57,14,0.9085478887744594,0.8170752750768194,4473,4349,455,433,0.9700038067882689,0.969521251620497
5691,6,28,5,3,baseline,0.9085478887744594,0.8170875009857144,4482,4340,464,424,0.9697429705100349,0.9691345157320498
5526,47,27,baseline,1,57,0.9085478887744594,0.8170746103696223,4472,4350,454,434,0.969771271087112,0.9692986323654962
5413,47,3,31,baseline,1,0.9085478887744594,0.8170895532660677,4483,4339,465,423,0.9700844655544215,0.9695776206812741
3481,37,28,baseline,1,57,0.9085478887744594,0.8170875009857144,4482,4340,464,424,0.9698156949314896,0.9693658286997336
5416,47,3,31,1,57,0.9085478887744594,0.8170821768421813,4479,4343,461,427,0.9700235365758865,0.9694935462040286
3929,37,5,62,baseline,57,0.9085478887744594,0.8170821768421813,4479,4343,461,427,0.9696570504671844,0.9691727892461974
5424,47,3,43,baseline,57,0.9085478887744594,0.8170770206850597,4475,4347,457,431,0.9697670705516839,0.9691427070870726
5883,6,17,35,27,57,0.9085478887744594,0.8170855874931369,4481,4341,463,425,0.9695842836160787,0.9689951437109069
3900,37,5,3,baseline,1,0.9085478887744594,0.8170917443417448,4484,4338,466,422,0.969852163216344,0.9693576138575992
3862,37,35,2,baseline,14,0.9085478887744594,0.8170940742205058,4485,4337,467,421,0.9697436281696221,0.9690714559692817
6868,28,35,62,27,43,0.9085478887744594,0.8170821768421813,4479,4343,461,427,0.9697336147720356,0.9690432385036348
7437,17,35,2,baseline,57,0.9085478887744594,0.8170770206850597,4475,4347,457,431,0.9696436002678838,0.9690044296684774
7435,17,35,43,57,14,0.9085478887744594,0.8170740843864035,4471,4351,453,435,0.969847220162027,0.9692920753233762
5468,47,62,31,2,14,0.9085478887744594,0.8170895532660677,4483,4339,465,423,0.9701056591649911,0.9694848671505415
