,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
3298,37,28,35,27,14,0.9081359423274974,0.8162836674161541,4488,4330,474,418,0.9697307719854327,0.9691030855643732
6504,6,27,31,2,14,0.9081359423274974,0.8162566208840654,4476,4342,462,430,0.9699362587842106,0.9692396704594266
7292,17,35,5,62,43,0.9081359423274974,0.8162540541422186,4474,4344,460,432,0.9700848262064532,0.9696299944141487
98,34,37,47,2,14,0.9081359423274974,0.816265463704257,4481,4337,467,425,0.9701638514310503,0.9695789339379393
8558,31,2,baseline,1,14,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.9701562989532095,0.9695743427528748
3926,37,5,62,2,57,0.9080329557157569,0.8160545906197557,4478,4339,465,428,0.9698610310133592,0.9693374206673155
7370,17,35,62,31,2,0.9080329557157569,0.8160651583850399,4483,4334,470,423,0.9700381748054091,0.9694359001689499
6135,6,35,3,31,57,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.9697456435780347,0.969049754470787
3452,37,28,31,43,1,0.9080329557157569,0.8160584018686271,4480,4337,467,426,0.9702745503899625,0.969753624223513
3443,37,28,27,2,14,0.9080329557157569,0.8160651583850399,4483,4334,470,423,0.9698219745198066,0.9691545912233488
6867,28,35,62,27,31,0.9080329557157569,0.8160651583850399,4483,4334,470,423,0.969819152948029,0.9691291091850703
1828,34,17,62,57,14,0.9080329557157569,0.816043432433751,4464,4353,451,442,0.970110050633848,0.9696816821361137
7652,17,62,27,31,baseline,0.9080329557157569,0.8160499132430887,4475,4342,462,431,0.9699500272058921,0.9694394706282248
7365,17,35,62,27,baseline,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.969766434106922,0.9692862903868544
4075,37,62,27,31,2,0.9080329557157569,0.816067687826542,4484,4333,471,422,0.9698784695998341,0.9691366534387262
7752,17,31,2,baseline,57,0.9080329557157569,0.816045616853744,4471,4346,458,435,0.9699397380155753,0.9692660878837431
7209,28,62,baseline,57,14,0.9080329557157569,0.8160448891640905,4470,4347,457,436,0.9698293784938696,0.9693328197649391
3369,37,28,3,62,baseline,0.9080329557157569,0.8160605154140423,4481,4336,468,425,0.9697982987746656,0.9692403418601528
4093,37,62,27,1,14,0.9080329557157569,0.8160545906197557,4478,4339,465,428,0.9699496665538605,0.9694662462771421
8312,5,2,baseline,1,14,0.9080329557157569,0.8160584018686271,4480,4337,467,426,0.9700792042777234,0.969578946357785
