,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
3591,curriculum-reordered-shuffled-00pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-95pct,no-hard-90pct,0.9066941297631308,0.8133734292914,4448,4356,448,458,0.9702775416803433,0.9698339005196601
517,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,no-easy-90pct,easiest-interleaved-50pct,no-hard-90pct,0.9066941297631308,0.8133655387470015,4457,4347,457,449,0.9696889151349279,0.969255445687812
1857,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,no-hard-90pct,0.9066941297631308,0.8133676651438382,4453,4351,453,453,0.9692963135761645,0.9689312076763453
5380,easiest-interleaved-25pct,hardest-interleaved-25pct,no-easy-95pct,no-hard-95pct,no-hard-90pct,0.9066941297631308,0.8133663258280066,4455,4349,455,451,0.9700507127672178,0.9694470809090447
1837,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,no-hard-95pct,0.9066941297631308,0.8133658632563265,4456,4348,456,450,0.9695637688799216,0.9690781002280072
3185,curriculum-reordered-shuffled-00pct,baseline,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,no-hard-80pct,0.9066941297631308,0.8133791269163674,4473,4331,473,433,0.9698394767507575,0.969463028746799
3938,curriculum-reordered-shuffled-00pct,easiest-interleaved-10pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,no-hard-90pct,0.9066941297631308,0.8133656214146584,4461,4343,461,445,0.9694372012316139,0.9688767657508266
2783,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,no-hard-90pct,0.9066941297631308,0.8133679134309575,4465,4339,465,441,0.9696601266168667,0.9691460489732816
4942,easiest-interleaved-25pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,easiest-interleaved-50pct,no-hard-90pct,0.9066941297631308,0.8133658632563265,4456,4348,456,450,0.9693597034744453,0.9686259884229981
1585,curriculum-reordered-shuffled-20pct,no-easy-80pct,no-easy-95pct,no-easy-90pct,no-hard-95pct,0.9066941297631308,0.8133679134309575,4465,4339,465,441,0.9698582518712325,0.969263642827512
4626,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-10pct,no-hard-80pct,0.9066941297631308,0.8133880492241504,4477,4327,477,429,0.9699269666906875,0.9695325607662985
5329,easiest-interleaved-25pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,no-hard-95pct,0.9066941297631308,0.8133833117245554,4475,4329,475,431,0.9702384215423144,0.9696120946913714
5328,easiest-interleaved-25pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,no-hard-80pct,0.9066941297631308,0.8133856113839901,4476,4328,476,430,0.9692005922839813,0.9684963368696611
3328,curriculum-reordered-shuffled-00pct,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,no-hard-80pct,0.9066941297631308,0.8133659872800109,4462,4342,462,444,0.9699787096498264,0.9693367274449316
5022,easiest-interleaved-25pct,curriculum-reordered-shuffled-30pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,no-hard-95pct,0.9066941297631308,0.8133664912343572,4463,4341,463,443,0.9697306659113056,0.969188909254723
3191,curriculum-reordered-shuffled-00pct,baseline,easiest-interleaved-50pct,hardest-interleaved-10pct,no-hard-80pct,0.9066941297631308,0.8133906252531744,4478,4326,478,428,0.9699969331848408,0.9696711294365634
4525,easiest-interleaved-25pct,baseline,no-easy-90pct,hardest-interleaved-10pct,no-hard-80pct,0.9066941297631308,0.8133961919114243,4480,4324,480,426,0.9699299155514173,0.9695564199169767
2585,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,curriculum-reordered-shuffled-30pct,no-easy-95pct,no-hard-90pct,0.9066941297631308,0.8133671332828761,4464,4340,464,442,0.9697208010174969,0.9692003464844753
