,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
6977,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9084449021627189,0.8168678686186421,4470,4351,453,436,0.9704604771197259,0.9699627725494986
5961,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-90pct,easiest-interleaved-50pct,0.9084449021627189,0.8168732195063364,4458,4363,441,448,0.9703106792376105,0.9698838666174419
3189,curriculum-reordered-shuffled-00pct,baseline,easiest-interleaved-50pct,hardest-interleaved-10pct,no-hard-95pct,0.9084449021627189,0.8168739691437099,4477,4344,460,429,0.9700189117439503,0.9695126804943256
4591,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-hard-95pct,0.9084449021627189,0.8168678686186421,4470,4351,453,436,0.9701327929266719,0.9694478005609029
666,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,no-easy-80pct,hardest-interleaved-50pct,no-easy-90pct,0.9084449021627189,0.8168726815247083,4476,4345,459,430,0.9703938413531598,0.9698235810756213
4597,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,no-easy-95pct,easiest-interleaved-50pct,0.9084449021627189,0.8168726815247083,4476,4345,459,430,0.969871001981295,0.9693511173069089
1105,curriculum-reordered-shuffled-20pct,baseline,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,no-easy-95pct,0.9084449021627189,0.8168683240355071,4471,4350,454,435,0.9696168908027113,0.9690096379055366
123,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,baseline,curriculum-reordered-shuffled-30pct,curriculum-reordered-shuffled-10pct,0.9084449021627189,0.8168726815247083,4476,4345,459,430,0.9694486572373274,0.9689404280236338
1369,curriculum-reordered-shuffled-20pct,baseline,easiest-interleaved-50pct,hardest-interleaved-10pct,no-hard-95pct,0.9084449021627189,0.8168739691437099,4477,4344,460,429,0.9699721754836048,0.9694706813285638
7634,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,no-hard-95pct,0.9084449021627189,0.8168678686186421,4470,4351,453,436,0.9703582216613212,0.9698195977005927
4604,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,no-easy-90pct,easiest-interleaved-50pct,0.9084449021627189,0.8168726815247083,4476,4345,459,430,0.969871001981295,0.9693511173069089
