,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
2452,17,3,62,14,0.9082389289392379,0.8164595102656276,4474,4345,459,432,0.9698777482957708,0.9693277412754209
1038,37,35,3,14,0.9082389289392379,0.8164797444206967,4485,4334,470,421,0.9696335656554719,0.9689144195078708
954,37,17,35,5,0.9082389289392379,0.8164824160433065,4486,4333,471,420,0.9698348519188216,0.9693182583945413
1100,37,5,31,2,0.9082389289392379,0.8165087839488756,4494,4325,479,412,0.96990239992288,0.9692343592651784
2920,3,43,baseline,14,0.9082389289392379,0.8164558590266284,4469,4350,454,437,0.9696882574753407,0.9690137021439402
1883,6,35,43,14,0.9082389289392379,0.8164619411933993,4476,4343,461,430,0.969806211904538,0.9691853838700782
2509,17,27,31,43,0.9082389289392379,0.8164666274878388,4479,4340,464,427,0.9699015301150385,0.9692669898481678
1237,37,baseline,1,14,0.9082389289392379,0.8164684669203716,4480,4339,465,426,0.9698941049261504,0.9694514066832065
2197,28,5,27,31,0.9082389289392379,0.8164852263927599,4487,4332,472,419,0.9697101936047993,0.9691086640327824
2193,28,5,62,baseline,0.9082389289392379,0.8164633646312565,4477,4342,462,429,0.9697280989174328,0.9692824210942584
2642,35,3,baseline,14,0.9082389289392379,0.8164606564069807,4475,4344,460,431,0.9695386293118284,0.9688721964974234
2081,28,17,3,27,0.9082389289392379,0.8164633646312565,4477,4342,462,429,0.9696465703434392,0.968967010024586
2192,28,5,62,2,0.9082389289392379,0.8164852263927599,4487,4332,472,419,0.9698211047119656,0.9692659327776152
1327,47,6,baseline,14,0.9082389289392379,0.8164585027631786,4473,4346,458,433,0.9698822034091035,0.9693862975479198
1245,47,6,28,27,0.9082389289392379,0.8165050022557666,4493,4326,478,413,0.9697651187877475,0.9691464233577372
1878,6,35,31,14,0.9082389289392379,0.8164772115164344,4484,4335,469,422,0.9698483657625984,0.9691961694864775
547,34,5,43,1,0.9082389289392379,0.8164553688471793,4467,4352,452,439,0.9702294052415215,0.9698634838947213
1328,47,6,1,57,0.9082389289392379,0.8164606564069807,4475,4344,460,431,0.9699149590995138,0.9695015708543359
1243,47,6,28,3,0.9082389289392379,0.8164881754777659,4488,4331,473,418,0.969860967368883,0.9692206180974154
1326,47,6,baseline,57,0.9082389289392379,0.816464926727137,4478,4341,463,428,0.9696735343865165,0.9691162317431352
2619,35,3,27,43,0.9082389289392379,0.8164563120308288,4470,4349,455,436,0.9694632318223738,0.9686060858488589
972,37,17,5,1,0.9082389289392379,0.8164725618300297,4482,4337,467,424,0.9700936515738176,0.9697277096511869
262,34,6,5,62,0.9082389289392379,0.816464926727137,4478,4341,463,428,0.9700002002679518,0.9695899677064141
2624,35,3,27,14,0.9082389289392379,0.8164606564069807,4475,4344,460,431,0.9694311550063763,0.9686621721017827
2517,17,27,43,1,0.9081359423274974,0.816250583895119,4470,4348,456,436,0.9699728543580173,0.9695321632821139
2369,17,35,62,1,0.9081359423274974,0.8162552682065289,4475,4343,461,431,0.9700116138440144,0.9696235415516669
1644,47,27,31,14,0.9081359423274974,0.8162836674161541,4488,4330,474,418,0.9698887800049761,0.9692763708411836
122,34,47,6,35,0.9081359423274974,0.8162634178591928,4480,4338,466,426,0.9700075618123638,0.969472796284431
119,34,37,57,14,0.9081359423274974,0.8162500628072051,4469,4349,455,437,0.9698221654532352,0.9692812117298668
2371,17,35,62,14,0.9081359423274974,0.8162634178591928,4480,4338,466,426,0.9698808032306275,0.9693922327669018
304,34,6,43,57,0.9081359423274974,0.8162498462675334,4463,4355,449,443,0.9698152069905055,0.9692646372025442
792,37,6,28,43,0.9081359423274974,0.8162676482045916,4482,4336,468,424,0.9699035667382765,0.9693222214586628
1637,47,62,1,14,0.9081359423274974,0.8162597421049362,4478,4340,464,428,0.970168073181304,0.969810308080301
2029,6,31,2,baseline,0.9081359423274974,0.816261510661861,4479,4339,465,427,0.9698226958238703,0.9690722339696416
1650,47,27,2,baseline,0.9081359423274974,0.816265463704257,4481,4337,467,425,0.969620794330584,0.9689325667828462
846,37,6,62,57,0.9081359423274974,0.8162597421049362,4478,4340,464,428,0.9696404816885508,0.9690713644014721
2491,17,62,31,1,0.9081359423274974,0.8162581121813047,4477,4341,463,429,0.9702537598610751,0.969863676093306
445,34,17,43,2,0.9081359423274974,0.8162498462675334,4463,4355,449,443,0.97012169757299,0.9695067897832964
2049,6,2,baseline,1,0.9081359423274974,0.8162529786848692,4473,4345,459,433,0.9698415133739957,0.9692776056139983
2731,5,3,62,31,0.9081359423274974,0.8162634178591928,4480,4338,466,426,0.9698122157001249,0.9691983256669661
429,34,17,62,1,0.9081359423274974,0.816249330996604,4466,4352,452,440,0.9703231747697683,0.9700167602523351
1685,47,2,baseline,1,0.9081359423274974,0.8162552682065289,4475,4343,461,431,0.9699806614137627,0.9694992187968721
