,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
1769,6,28,baseline,14,0.9076210092687951,0.815234315541967,4478,4335,469,428,0.9698836035875797,0.9693464805753021
2057,6,baseline,57,14,0.9076210092687951,0.8152195228857427,4465,4348,456,441,0.9696609327802317,0.9691291108304813
2276,28,62,43,1,0.9076210092687951,0.8152272720725727,4474,4339,465,432,0.9701225673808314,0.9696875216889054
946,37,28,2,57,0.9076210092687951,0.815234315541967,4478,4335,469,428,0.9697157518890531,0.969037053578014
675,34,2,57,14,0.9076210092687951,0.8152196773455902,4461,4352,452,445,0.9698317121246631,0.96922186960733
1024,37,35,5,43,0.9076210092687951,0.8152364225820677,4479,4334,470,427,0.9698565759000263,0.96933062926438
1768,6,28,baseline,57,0.9076210092687951,0.8152198302505874,4466,4347,457,440,0.9696864754300075,0.9691246120177585
1889,6,35,baseline,57,0.9076210092687951,0.8152245810537982,4472,4341,463,434,0.9694919142663081,0.9689113215244904
1861,6,35,62,2,0.9076210092687951,0.8152386681062145,4480,4333,471,426,0.969778717490826,0.9691815818522684
1970,6,3,baseline,57,0.9076210092687951,0.8152195228857427,4465,4348,456,441,0.9695150596408143,0.9688618117761418
868,37,6,2,57,0.9076210092687951,0.8152245810537982,4472,4341,463,434,0.9697078599740059,0.9690610185678081
825,37,6,5,43,0.9076210092687951,0.8152288252506853,4475,4338,466,431,0.9700172569875696,0.9695639107015588
1003,37,17,31,57,0.9076210092687951,0.815234315541967,4478,4335,469,428,0.9699721118391285,0.9693645053125026
929,37,28,27,baseline,0.9076210092687951,0.815249035203317,4484,4329,475,422,0.9696276679340121,0.9690553228036067
1743,6,28,62,57,0.9076210092687951,0.8152323469782808,4477,4336,468,429,0.9697625517938746,0.9691992922744781
2136,28,35,3,27,0.9076210092687951,0.8152386681062145,4480,4333,471,426,0.9694861226189754,0.9687159798196758
913,37,28,3,2,0.9076210092687951,0.815249035203317,4484,4329,475,422,0.9697501411210185,0.9689985745961064
1737,6,28,62,27,0.9076210092687951,0.8152435746382329,4482,4331,473,424,0.9697050384022283,0.9690632978838947
1939,6,3,62,27,0.9076210092687951,0.8152245810537982,4472,4341,463,434,0.9695269823726864,0.9688046442106274
