,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
357,47,baseline,14,0.9075180226570546,0.81502201518999,4474,4338,466,432,0.9697583936880972,0.9692940451674528
395,6,35,57,0.9075180226570546,0.8150253954149472,4476,4336,468,430,0.9692416005414702,0.9685842239309448
647,35,baseline,14,0.9075180226570546,0.8150338170891083,4480,4332,472,426,0.9694373709502171,0.9688639034546035
574,17,27,14,0.9075180226570546,0.8150169156845836,4470,4342,462,436,0.9695930665537924,0.9690920240340346
205,37,5,43,0.9075180226570546,0.8150388586603785,4482,4330,474,424,0.969749419816955,0.9692255196802527
444,6,2,57,0.9075180226570546,0.8150140304384076,4466,4346,458,440,0.9693057753882907,0.968561968962003
471,28,35,baseline,0.9075180226570546,0.8150506036019082,4486,4326,478,420,0.9694417836338993,0.9688257137773755
470,28,35,2,0.9075180226570546,0.8150573071145938,4488,4324,480,418,0.9695628990720806,0.9687780638981883
399,6,5,27,0.9075180226570546,0.8150338170891083,4480,4332,472,426,0.9693974658636487,0.9687824007360705
450,6,1,14,0.9075180226570546,0.8150169156845836,4470,4342,462,436,0.9698740781309774,0.9694712704329098
567,17,62,14,0.9075180226570546,0.8150179829591636,4471,4341,463,435,0.9698872313227223,0.9694703688907046
643,35,2,57,0.9075180226570546,0.8150159868009407,4469,4343,461,437,0.9692502986198822,0.9684678940796176
597,35,5,62,0.9075180226570546,0.8150444541414733,4484,4328,476,422,0.9695764341306826,0.9690715869273008
505,28,27,baseline,0.9075180226570546,0.8150388586603785,4482,4330,474,424,0.9692767959368008,0.9686109210191425
526,28,baseline,14,0.9075180226570546,0.8150253954149472,4476,4336,468,430,0.9695617534715091,0.9690458338355834
802,43,baseline,14,0.9075180226570546,0.8150140304384076,4466,4346,458,440,0.969654610762264,0.9691064491791519
612,35,3,1,0.9075180226570546,0.8150293293615409,4478,4334,470,428,0.9695981156822365,0.9689860513739008
655,5,3,2,0.9075180226570546,0.8150293293615409,4478,4334,470,428,0.9694666686240878,0.9686465680089931
652,5,3,27,0.9075180226570546,0.8150151963024065,4468,4344,460,438,0.969250128901279,0.9684886797567688
541,17,5,3,0.9075180226570546,0.8150151963024065,4468,4344,460,438,0.9696790714559447,0.9690971139445019
