,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
412,6,3,baseline,0.9090628218331617,0.8181043600495422,4474,4353,451,432,0.969479291445198,0.9687135727427223
113,34,27,57,0.9090628218331617,0.8181036673930837,4468,4359,445,438,0.9693641373729529,0.9687813285004439
280,47,28,1,0.9090628218331617,0.8181496905350764,4496,4331,473,410,0.9701904972517467,0.969855711162885
41,34,6,baseline,0.9090628218331617,0.8181043600495422,4474,4353,451,432,0.9697873519247615,0.9692494047225703
569,17,27,43,0.9090628218331617,0.8181033887535768,4471,4356,448,435,0.969756017627653,0.9692098689872752
371,6,28,1,0.9090628218331617,0.8181395478900318,4493,4334,470,413,0.9699907384558255,0.9696330024782837
259,47,6,5,0.9090628218331617,0.8181651609877388,4500,4327,477,406,0.9699560097866535,0.9695707990164897
229,37,27,43,0.9090628218331617,0.8181075996861918,4478,4349,455,428,0.9695210846512266,0.9687869630500969
183,37,17,31,0.9090628218331617,0.8181334813120171,4491,4336,468,415,0.9700786314774378,0.9694859994806426
30,34,47,14,0.9090628218331617,0.8181087568778909,4479,4348,456,427,0.9701608601406696,0.9696909038850396
530,17,35,5,0.9090628218331617,0.8181306565511439,4490,4337,467,416,0.9697347815874324,0.9692731217942949
147,37,47,baseline,0.9090628218331617,0.818146170603761,4495,4332,472,411,0.9697428856507335,0.9692186328951308
51,34,28,31,0.9090628218331617,0.8181147749601714,4483,4344,460,423,0.9700671330420736,0.9694624084789746
85,34,5,43,0.9090628218331617,0.8181049616006885,4475,4352,452,431,0.9700702516214067,0.969652267940484
548,17,5,1,0.9090628218331617,0.8181065814133666,4477,4350,454,429,0.9701540926113685,0.9698492807654384
391,6,35,43,0.9090628218331617,0.8181100529946417,4480,4347,457,426,0.9696752103577226,0.9690395976555188
417,6,62,31,0.9090628218331617,0.8181254240420122,4488,4339,465,418,0.9699584919212247,0.969377221822933
387,6,35,3,0.9090628218331617,0.8181166268431593,4484,4343,461,422,0.9694239631805672,0.9686779355858082
433,6,31,baseline,0.9089598352214212,0.8179115841122359,4484,4342,462,422,0.9698330698734883,0.969193925296461
694,5,1,14,0.9089598352214212,0.817915840478898,4486,4340,464,420,0.9700215423822992,0.969673447412617
81,34,5,3,0.9089598352214212,0.8179001151984112,4476,4350,454,430,0.9698238838540922,0.9692571342123661
283,47,17,35,0.9089598352214212,0.8179384243377521,4494,4332,472,412,0.9699382954074485,0.9694029673317265
80,34,35,14,0.9089598352214212,0.8179021490529585,4478,4348,456,428,0.9697966652331104,0.9692524499375008
78,34,35,1,0.9089598352214212,0.8179021490529585,4478,4348,456,428,0.9699429626690355,0.9695175480917384
439,6,43,1,0.9089598352214212,0.8178986368441256,4474,4352,452,432,0.9699735120176045,0.9695673990636064
258,47,6,35,0.9089598352214212,0.817941872782367,4495,4331,473,411,0.9697590513476845,0.9692227461253757
379,6,17,31,0.9089598352214212,0.8179232671229858,4489,4337,467,417,0.9700516886491859,0.969527124591685
714,3,31,1,0.9089598352214212,0.8179115841122359,4484,4342,462,422,0.9699758880780488,0.9693492239066414
134,34,1,14,0.9089598352214212,0.8178974607796936,4471,4355,449,435,0.9701274467906721,0.9697603731901339
413,6,3,1,0.9089598352214212,0.8179010626852502,4477,4349,455,429,0.9697146699329577,0.969176241144972
181,37,17,62,0.9089598352214212,0.8179181770730649,4487,4339,465,419,0.9699391440004643,0.9694976812566027
533,17,35,27,0.9089598352214212,0.8179181770730649,4487,4339,465,419,0.9695076132371007,0.9689497637650013
534,17,35,31,0.9089598352214212,0.8179351149061092,4493,4333,471,413,0.9698268327148222,0.9691935589992375
