,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
2129,no-easy-80pct,hardest-interleaved-50pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-40pct,0.9072090628218331,0.8143984044504436,4468,4341,463,438,0.9700588168305185,0.9693662576290323
2373,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,0.9072090628218331,0.8143968312148122,4466,4343,461,440,0.9702506200669166,0.9698555490522631
1867,baseline,hardest-interleaved-50pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,0.9071060762100926,0.814191950115949,4467,4341,463,439,0.9702471408355519,0.9697724393577352
1860,baseline,hardest-interleaved-50pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,0.9071060762100926,0.814191950115949,4467,4341,463,439,0.9702471408355519,0.9697724393577352
599,curriculum-reordered-shuffled-20pct,no-easy-95pct,no-easy-90pct,hardest-interleaved-10pct,0.9071060762100926,0.8141900088592092,4464,4344,460,442,0.9702439161820918,0.9699196758629021
2033,baseline,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,no-hard-95pct,0.9071060762100926,0.8142013185836714,4474,4334,470,432,0.9702832484683744,0.9698638682028945
1769,baseline,no-easy-80pct,hardest-interleaved-10pct,no-hard-80pct,0.9071060762100926,0.8142203230264488,4482,4326,478,424,0.9695903722709673,0.9691506596340486
2024,baseline,curriculum-reordered-shuffled-10pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9071060762100926,0.814195135580183,4470,4338,466,436,0.9695433814327169,0.9691115075718515
2194,no-easy-80pct,easiest-interleaved-10pct,no-easy-95pct,no-hard-95pct,0.9071060762100926,0.8141911647926413,4466,4342,462,440,0.9695295493665592,0.968728512371369
2866,hardest-interleaved-25pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,no-hard-90pct,0.9071060762100926,0.8141973970280013,4450,4358,446,456,0.9699155743294503,0.9694260035335647
1765,baseline,no-easy-80pct,easiest-interleaved-50pct,no-hard-90pct,0.9071060762100926,0.8141903170582614,4457,4351,453,449,0.9692496621751204,0.9687666418881068
1958,baseline,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,no-hard-90pct,0.9071060762100926,0.8141903170582614,4457,4351,453,449,0.9699316763819252,0.969441730257292
103,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,curriculum-reordered-shuffled-10pct,no-hard-90pct,0.9071060762100926,0.8141898584023857,4458,4350,454,448,0.9689508937890797,0.9684700891692641
2887,hardest-interleaved-25pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,no-hard-90pct,0.9071060762100926,0.8141973970280013,4450,4358,446,456,0.9699155743294503,0.9694260035335647
116,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,hardest-interleaved-10pct,no-hard-80pct,0.9071060762100926,0.8141928736843931,4468,4340,464,438,0.9697801176693018,0.9694879317161866
466,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,easiest-interleaved-10pct,hardest-interleaved-10pct,0.9071060762100926,0.814191950115949,4467,4341,463,439,0.9705666573208289,0.970015000436304
